RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  10.612      -10.312           20.924          -10.338           20.950          -10.405           21.017           -9.781           20.393     
  16.515       -4.408           20.924           -4.314           20.829           -3.001           19.516           -3.815           20.330     
  24.403        3.479           20.924            3.465           20.937            3.508           20.894            4.015           20.388     
  -6.477       -9.623            3.146           -9.733            3.256          -10.489            4.012           -9.782            3.305     
  -0.574       -3.719            3.146           -3.709            3.135           -3.084            2.511           -3.816            3.242     
   7.314        4.168            3.146            4.070            3.244            3.425            3.889            4.014            3.299     
 -12.261      -11.308           -0.953          -11.413           -0.848          -12.153           -0.108          -11.425           -0.836     
  -6.358       -5.404           -0.953           -5.389           -0.969           -4.748           -1.609           -5.459           -0.898     
   1.530        2.483           -0.953            2.390           -0.860            1.761           -0.231            2.370           -0.841     
 -17.639      -12.126           -5.513          -12.241           -5.398          -13.105           -4.534          -12.356           -5.283     
 -11.735       -6.222           -5.513           -6.217           -5.519           -5.700           -6.035           -6.390           -5.345     
  -3.848        1.665           -5.513            1.562           -5.410            0.809           -4.657            1.440           -5.288     
  38.241       -8.827           47.068           -8.943           47.184           -9.918           48.159           -9.374           47.615     
  43.499       -3.569           47.068           -3.615           47.114           -3.188           46.687           -4.054           47.554     
  51.864        4.796           47.068            4.693           47.171            3.829           48.036            4.255           47.610     
  11.472       -9.561           21.033           -9.566           21.039           -9.699           21.171           -9.023           20.495     
  16.730       -4.303           21.033           -4.238           20.968           -2.969           19.699           -3.704           20.434     
  25.096        4.063           21.033            4.070           21.026            4.048           21.048            4.605           20.490     
  -5.497       -8.744            3.247           -8.834            3.337           -9.659            4.161           -8.900            3.403     
  -0.239       -3.486            3.247           -3.506            3.267           -2.928            2.689           -3.580            3.341     
   8.126        4.879            3.247            4.802            3.324            4.088            4.038            4.729            3.398     
 -11.472      -10.617           -0.855          -10.703           -0.770          -11.512            0.040          -10.733           -0.739     
  -6.214       -5.359           -0.855           -5.374           -0.840           -4.782           -1.432           -5.414           -0.800     
   2.151        3.006           -0.855            2.934           -0.783            2.235           -0.084            2.895           -0.744     
 -16.491      -11.071           -5.421          -11.166           -5.326          -12.102           -4.390          -11.301           -5.190     
