RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
   2.892        3.093           -0.201            3.315           -0.423            4.573           -1.681            2.986           -0.094     
   9.632        9.676           -0.044            9.550            0.082            9.601            0.031            9.726           -0.094     
  -7.242       -2.614           -4.628           -2.740           -4.502           -2.841           -4.401           -2.563           -4.679     
  -2.462        2.321           -4.783            2.538           -5.000            3.774           -6.236            2.217           -4.679     
   4.278        8.904           -4.626            8.773           -4.495            8.802           -4.524            8.957           -4.679     
  21.104       -3.542           24.646           -3.591           24.695           -4.194           25.298           -3.516           24.621     
  39.747      -14.626           54.372          -14.715           54.462          -15.150           54.896          -14.580           54.326     
  47.682       -6.592           54.274           -6.498           54.180           -5.608           53.290           -6.645           54.326     
  56.668        2.296           54.373            2.207           54.462            1.903           54.765            2.342           54.326     
  14.340      -10.969           25.309          -10.997           25.337          -11.711           26.052          -10.951           25.292     
  22.275       -2.935           25.211           -2.781           25.056           -2.170           24.445           -3.016           25.292     
  31.262        5.952           25.310            5.925           25.337            5.342           25.920            5.970           25.292     
  -4.732      -11.702            6.970          -11.787            7.055          -12.537            7.805          -11.657            6.925     
   3.203       -3.668            6.871           -3.571            6.774           -2.996            6.199           -3.722            6.925     
  12.189        5.220            6.970            5.134            7.055            4.516            7.674            5.264            6.925     
 -10.755      -13.270            2.515          -13.357            2.602          -14.134            3.379          -13.225            2.470     
  -2.820       -5.236            2.416           -5.141            2.320           -4.593            1.772           -5.290            2.470     
   6.166        3.651            2.515            3.565            2.602            2.919            3.247            3.697            2.470     
 -16.730      -14.447           -2.283          -14.549           -2.182          -15.336           -1.395          -14.395           -2.335     
  -8.795       -6.413           -2.382           -6.332           -2.463           -5.794           -3.001           -6.460           -2.335     
   0.191        2.474           -2.283            2.373           -2.182            1.717           -1.526            2.526           -2.335     
  47.084       -1.160           48.245           -1.320           48.404           -0.376           47.460           -1.099           48.183     
  51.530        3.477           48.053            3.768           47.762            6.057           45.472            3.347           48.183     
  58.246        9.996           48.249            9.823           48.423           10.897           47.348           10.063           48.183     
  19.216       -0.169           19.385           -0.259           19.475            0.395           18.821           -0.140           19.356     
  23.662        4.469           19.193            4.829           18.833            6.828           16.834            4.306           19.356     
  30.378       10.988           19.390           10.885           19.493           11.668           18.710           11.022           19.356     
   2.366        0.521            1.845            0.407            1.959            0.981            1.385            0.561            1.805     
   6.812        5.159            1.653            5.495            1.317            7.414           -0.602            5.007            1.805     
  13.528       11.678            1.850           11.551            1.977           12.254            1.274           11.723            1.805     
  -3.442       -1.095           -2.347           -1.199           -2.243           -0.667           -2.775           -1.059           -2.382     
   1.004        3.543           -2.539            3.889           -2.885            5.766           -4.763            3.386           -2.382     
   7.720       10.062           -2.342            9.945           -2.225           10.606           -2.886           10.102           -2.382     
  -9.058       -2.365           -6.693           -2.465           -6.594           -1.968           -7.090           -2.332           -6.726     
  -4.613        2.272           -6.885            2.623           -7.236            4.465           -9.078            2.114           -6.726     
   2.103        8.792           -6.688            8.678           -6.575            9.305           -7.202            8.830           -6.726     

Statistical Summary dH-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             0.000                             -0.007                            -0.000                            0.000                
RMSD                       6.681                             6.683                             6.796                             6.681                
CV                         5.744                             5.723                             5.703                             5.678                
AIC                       551.384                           547.461                           548.254                           547.393               
dAIC                       3.991                             0.069                             0.862                             0.000                
AICc                     552.006                           547.753                           548.341                           547.685               
dAICc                     4.322                             0.069                             0.656                             0.000                
