RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   6.977        0.746            6.231            1.612            5.365            4.294            2.682           -0.511            7.488     
  10.337        4.431            5.906            5.202            5.135            7.609            2.728            3.120            7.217     
   7.464        4.057            3.407            3.865            3.600            4.230            3.234            4.308            3.156     
   3.189        3.816           -0.627            4.170           -0.981            0.648            2.541           -1.568            4.757     
   9.584        3.950            5.634            4.586            4.999            6.941            2.643            2.444            7.140     
   7.302        4.131            3.171            3.801            3.501            4.149            3.153            4.191            3.111     
   3.705        4.584           -0.880            4.801           -1.097            1.247            2.458           -0.992            4.697     
   1.479       -3.103            4.583           -2.413            3.892           -0.937            2.416           -4.878            6.358     
   9.056        4.818            4.238            5.414            3.642            6.596            2.460            2.986            6.070     
   7.467        5.885            1.582            5.521            1.946            4.513            2.954            5.591            1.876     
   4.371        6.481           -2.109            6.654           -2.283            2.083            2.289            0.602            3.770     

Statistical Summary dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             -0.000                            -0.000                            0.000                             0.000                
RMSD                       5.700                             5.734                             7.139                             6.107                
CV                         4.541                             4.501                             5.614                             4.890                
AIC                       767.331                           765.951                           857.059                           793.279               
dAIC                       1.380                             0.000                             91.108                            27.328               
AICc                     767.731                           766.140                           857.115                           793.468               
dAICc                     1.592                             0.000                             90.976                            27.328               


dG-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dG-+       error            result           error            result           error            result           error            result        
   4.780      -26.270           31.050          -26.111           30.891          -32.396           37.177          -32.909           37.689     
  34.656        3.154           31.502            3.322           31.333           -2.381           37.037           -3.033           37.689     
  40.870        6.515           34.355            6.609           34.261            5.609           35.261            3.181           37.689     
  49.952       19.128           30.824           19.304           30.648           13.024           36.928           12.263           37.689     
 -20.555      -28.569            8.014          -28.450            7.896          -31.125           10.570          -31.329           10.775     
   9.321        0.856            8.465            0.983            8.339           -1.110           10.431           -1.454           10.775     
  15.535        4.217           11.318            4.269           11.266            6.881            8.655            4.760           10.775     
  24.618       16.830            7.788           16.964            7.653           14.296           10.322           13.843           10.775     
 -37.524      -28.835           -8.689          -28.744           -8.780          -31.740           -5.784          -31.756           -5.768     
  -7.648        0.590           -8.238            0.689           -8.337           -1.725           -5.923           -1.880           -5.768     
  -1.434        3.951           -5.385            3.976           -5.410            6.266           -7.700            4.334           -5.768     
